серийный номер;Год;название проекта;Наименование ПС;Принадлежность;Класс напряжения;Локация;тип ЭОБ;дата;серийный номер трансформатора, в который входит ЭОБ
102-17;;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;ЦАПТ;27.12.2017;Т051-18
103-17;;Демонстрационный ТТЭО;;;;;;;
104-17;;Демонстрационный ДНЕЭ;;;;;;;
105-17;;;;;;;ЦАПТ;;
001-18;;тестовый ЭОБ ДНЕЭ;;;;;ДНЕЭ;09.01.2018;
002-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;12.01.2018;Т002-18
003-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;12.01.2018;Т002-18
004-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;12.01.2018;Т002-18
005-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т005-18
006-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т005-18
007-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т005-18
008-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т008-18
009-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т008-18
010-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т008-18
011-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т011-18
012-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т011-18
013-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т011-18
014-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т014-18
015-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т014-18
016-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т014-18
017-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т017-18
018-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т017-18
019-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;16.01.2018;Т017-18
020-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;ТТЭО;16.01.2018;Т020-18
021-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;ТТЭО;16.01.2018;Т020-18
022-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;ТТЭО;16.01.2018;Т020-18
023-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;ТТЭО;16.01.2018;Т023-18
024-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;ТТЭО;16.01.2018;Т023-18
