серийный номер;Год;название проекта;Наименование ПС;Принадлежность;Класс напряжения;Локация;ID проекта;тип ЭОБ;Фамилия присвоившего;дата;серийный номер трансформатора, в который входит ЭОБ;серийные номера чувствительных элементов, к которым подключен ЭОБ;;;технологический паспорт;"паспорта модернизации/
ремонта";файл мониторинга;паспорт монтажа;Комментарий;;Волокно
83-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ЦАПТ;Крылов;09.11.2017;Т58-17;;;;;;;;ЦАПТ;для ТТЭО 58-17;
84-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ЦАПТ;Крылов;09.11.2017;Т59-17;;;;;;;;ЦАПТ;для ТТЭО 59-17;
85-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;п044;ТТЭО;Дикевич;27.11.2017;Т85-17;137-17;138-17;139-17;https://docs.google.com/spreadsheets/d/1O8qREEXn2EpO2SmHQwdSxE4mQApH1q95nI12mQt81KE/edit#gid=1233994135;;https://docs.google.com/spreadsheets/d/1qCJyoBQCAmMDEXKHJHScIY97J7F1kGibupTBFxyVFAw/edit#gid=0;;ТТЭО-6;;
86-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;п044;ТТЭО;Дикевич;27.11.2017;Т85-17;137-17;138-17;139-17;https://docs.google.com/spreadsheets/d/1v8_Ka4IitvYKl-dsvjF_63DtWORYT5_GPC1THPgPSSo/edit#gid=1364290579;;https://docs.google.com/spreadsheets/d/1qCJyoBQCAmMDEXKHJHScIY97J7F1kGibupTBFxyVFAw/edit#gid=1846823275;;ЭОБ-Р;;
87-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;п044;ТТЭО;Дикевич;27.11.2017;Т87-17;140-17;141-17;142-17;https://docs.google.com/spreadsheets/d/1Tkw5S5R5q7XCXhgHLU8jJY6yEBZR9WSn7_CRKs4Tnvo/edit#gid=1564103644;;https://docs.google.com/spreadsheets/d/1qCJyoBQCAmMDEXKHJHScIY97J7F1kGibupTBFxyVFAw/edit#gid=346492843;;ТТЭО-6;;
88-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;п044;ТТЭО;Дикевич;27.11.2017;Т87-17;140-17;141-17;142-17;https://docs.google.com/spreadsheets/d/1-lR9UhbnY612FVwqccldHkh2WpgbBnJ_If3bSeGLsKo/edit#gid=1090668043;;https://docs.google.com/spreadsheets/d/1qCJyoBQCAmMDEXKHJHScIY97J7F1kGibupTBFxyVFAw/edit#gid=666993656;;ЭОБ-Р;;
89-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;п044;ТТЭО;Дикевич;27.11.2017;Т89-17;143-17;144-17;145-17;https://docs.google.com/spreadsheets/d/1-_NU2KdaFjTRJjDcLnYuZBeFG3273x7SAa--vIcb5dk/edit#gid=1706181347;;https://docs.google.com/spreadsheets/d/1qCJyoBQCAmMDEXKHJHScIY97J7F1kGibupTBFxyVFAw/edit#gid=1796371020;;ТТЭО-6;;
90-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;п044;ТТЭО;Дикевич;27.11.2017;Т89-17;143-17;144-17;145-17;https://docs.google.com/spreadsheets/d/1OSJ1Wjll-3puntAOwl414nWfWym4ShhMO9Qb0uEv0hA/edit#gid=964036186;;https://docs.google.com/spreadsheets/d/1qCJyoBQCAmMDEXKHJHScIY97J7F1kGibupTBFxyVFAw/edit#gid=1284243233;;ЭОБ-Р;;
91-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;13.8;52.973775, 34.001997;п044;ТТЭО;Дикевич;27.11.2017;Т91-17;146-17;147-17;148-17;https://docs.google.com/spreadsheets/d/1D1oZrVESplO9aHnfsoiDwMbe-6Y0VquqypogN9BqvpU/edit#gid=518498908;;https://docs.google.com/spreadsheets/d/1qCJyoBQCAmMDEXKHJHScIY97J7F1kGibupTBFxyVFAw/edit#gid=815498177;;ТТЭО-6;;
92-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;13.8;52.973775, 34.001997;п044;ТТЭО;Дикевич;27.11.2017;Т91-17;146-17;147-17;148-17;https://docs.google.com/spreadsheets/d/1MZ54-f-supxJ29KLuLG1aNQxAZXi05HuoJxMgoIFrwI/edit#gid=977954961;;https://docs.google.com/spreadsheets/d/1qCJyoBQCAmMDEXKHJHScIY97J7F1kGibupTBFxyVFAw/edit#gid=1246169181;;ЭОБ-Р;;
93-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;13.8;52.973775, 34.001997;п044;ТТЭО;Дикевич;27.11.2017;Т93-17;149-17;150-17;151-17;https://docs.google.com/spreadsheets/d/1_qtRmZs23TBJ96MkmLfcCrYtnuoqia0TkcuWSM7SP0Y/edit#gid=1416753051;;https://docs.google.com/spreadsheets/d/1qCJyoBQCAmMDEXKHJHScIY97J7F1kGibupTBFxyVFAw/edit#gid=500214210;;ТТЭО-6;;
94-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;13.8;52.973775, 34.001997;п044;ТТЭО;Дикевич;27.11.2017;Т93-17;149-17;150-17;151-17;https://docs.google.com/spreadsheets/d/1RO3wtuK3-2s-J6L-aJDIxlRmKVs-UlhkITepYLW2JOU/edit#gid=546529079;;https://docs.google.com/spreadsheets/d/1qCJyoBQCAmMDEXKHJHScIY97J7F1kGibupTBFxyVFAw/edit#gid=1297894629;;ЭОБ-Р;;
95-17;2017;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;п044;ТТЭО;Дикевич;27.11.2017;Т49-17;0;0;081-17;https://docs.google.com/spreadsheets/d/1vBuVw__lVkzj6CtgXTNgDbg0Hi3zzbJ3YK_aNycXjRE/edit#gid=823826119;;https://docs.google.com/spreadsheets/d/1qCJyoBQCAmMDEXKHJHScIY97J7F1kGibupTBFxyVFAw/edit#gid=2039907947;;ЭОБ-Р;;
96-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;п043;ЦАПТ;Крылов;27.12.2017;Т60-17;;;;;;;;ЦАПТ поставлен к ТТЭО-110 60-17 на замену старому ЦАПТ;;
97-17;;ТГК-1-2;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;п029;ЦАПТ;Крылов;27.12.2017;Т21-16;;;;;;;;ЦАПТ поставлен к ТТЭО-110 21-16 на замену старому ЦАПТ;;
98-17;;ТГК-1-2;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;п029;ЦАПТ;Крылов;27.12.2017;Т22-16;;;;;;;;ЦАПТ поставлен к ТТЭО-110 22-16 на замену старому ЦАПТ;;
99-17;;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;п075;ЦАПТ;Крылов;27.12.2017;Т054-18;;;;;;;;ЦАПТ;;
100-17;;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;п075;ЦАПТ;Крылов;27.12.2017;Т052-18;;;;;;;;ЦАПТ;;
101-17;;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;п075;ЦАПТ;Крылов;27.12.2017;Т055-18;;;;;;;;ЦАПТ;;
102-17;;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;п075;ЦАПТ;Крылов;27.12.2017;Т051-18;;;;;;;;ЦАПТ;;
103-17;;Демонстрационный ТТЭО;;;;;;;;;;;;;;;;;;;
104-17;;Демонстрационный ДНЕЭ;;;;;;;;;;;;;;;;;;;
105-17;;;;;;;;ЦАПТ;;;;;;;;;;;Номер присвоен ЦАПТу для ИЦ для ТТЭО 047-18;;
001-18;;тестовый ЭОБ ДНЕЭ;;;;;отсутствует;ДНЕЭ;Дикевич;09.01.2018;;0;0;0;https://docs.google.com/spreadsheets/d/1JBrJe8TMtdHJHFafxzwMzo4XGariZUynmIy__940znY/edit#gid=216516929;;;;ДНЕЭ;;
002-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;12.01.2018;Т002-18;0006-18;0007-18;0008-18;https://docs.google.com/spreadsheets/d/18T1yjBfFT10QpRlOToWG6QWD-PRMbLbfksrCB4Q0LrA/edit#gid=507926534;;;;ЭОБ ТТЭО-110;;
003-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;12.01.2018;Т002-18;0006-18;0007-18;0008-18;https://docs.google.com/spreadsheets/d/1Mp7e_ZX4iE27isQtqKp7SlPyND0cQbGbYJWIoOT_x98/edit#gid=533868947;;;;ЭОБ-Р ТТЭО-110;;
004-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;12.01.2018;Т002-18;0006-18;0007-18;0008-18;https://docs.google.com/spreadsheets/d/1WnZ_6VqG5aIKvon7aUlu0LD9H1V4DWCTwvJn7jsiP74/edit#gid=1354650169;;;;ЭОБ-Р ТТЭО-110;;
005-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т005-18;0009-18;0010-18;0011-18;https://docs.google.com/spreadsheets/d/1cs4XCchgiITQ-7iMi8CuORMc8qF0rVnXpTjbMEIs3zk/edit#gid=490810661;;;;ЭОБ ТТЭО-110;;
006-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т005-18;0009-18;0010-18;0011-18;https://docs.google.com/spreadsheets/d/18ZLau5ZiQhqSX7VfroqLOLRPCSY3md4dek2SQs5OB-w/edit#gid=678922190;;;;ЭОБ-Р ТТЭО-110;;
007-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т005-18;0009-18;0010-18;0011-18;https://docs.google.com/spreadsheets/d/11MP-jSPotls_qbeEi5pXAaaOox7lcdUIUKLfTPkY3t4/edit#gid=219499943;;;;ЭОБ-Р ТТЭО-110;;
008-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т008-18;0012-18;0013-18;0014-18;https://docs.google.com/spreadsheets/d/1x0pviwJuDhv9axD4joZXogQo5mFKdTDfsyF2Id2Wh10/edit#gid=490810661;;;;ЭОБ ТТЭО-110;;
009-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т008-18;0012-18;0013-18;0014-18;https://docs.google.com/spreadsheets/d/10140IcqYaBWzE31wcQ1KFclSFvIi-Xu4l8f7_8k-TTo/edit#gid=678922190;;;;ЭОБ-Р ТТЭО-110;;
010-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т008-18;0012-18;0013-18;0014-18;https://docs.google.com/spreadsheets/d/17sRkikL6qZBtbVs_1RFnfGISMydQlVCLmihj-gvF5lY/edit#gid=219499943;;;;ЭОБ-Р ТТЭО-110;;Nufern
011-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т011-18;0015-18;0016-18;0017-18;https://docs.google.com/spreadsheets/d/1NLvIUXuSwFS1WX-2k9HGDvuNcmGzBu3iTNYbB6HP7-U/edit#gid=490810661;;;;ЭОБ ТТЭО-110;;Panda
012-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т011-18;0015-18;0016-18;0017-18;https://docs.google.com/spreadsheets/d/12OgFnRGMOuLL0yevbZZLsORyVPSRx2josXPtbBnsbDQ/edit#gid=678922190;;;;ЭОБ-Р ТТЭО-110;;Panda
013-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т011-18;0015-18;0016-18;0017-18;https://docs.google.com/spreadsheets/d/1wv7YmgzANo9P9Xc1sN_aoU9OpaKVaj5hLxyvdHgwol0/edit#gid=219499943;;;;ЭОБ-Р ТТЭО-110;;Panda
014-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т014-18;0018-18;0019-18;0020-18;https://docs.google.com/spreadsheets/d/1SiSDgGU6cvJntVjD5VjRw4nJ5yIixbZbfIVqBkXtUkM/edit#gid=490810661;;;;ЭОБ ТТЭО-110;;Panda
015-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т014-18;0018-18;0019-18;0020-18;https://docs.google.com/spreadsheets/d/1UG5750OjMgY6vtggiYrtdWeQC3IanyDE0Ve11wzkK4A/edit#gid=678922190;;;;ЭОБ-Р ТТЭО-110;;Panda
016-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т014-18;0018-18;0019-18;0020-18;https://docs.google.com/spreadsheets/d/1A64BOC68uINB4BpYWXQj8LGvoGlqalvqunhiVlbafC4/edit#gid=219499943;;;;ЭОБ-Р ТТЭО-110;;Panda
017-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т017-18;0021-18;0022-18;0023-18;https://docs.google.com/spreadsheets/d/175oNHtvHL-kndlsBS1P1SBJQIlgDRyBjOC-L2U5pH0A/edit#gid=490810661;;;;ЭОБ ТТЭО-110;;Panda
018-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т017-18;0021-18;0022-18;0023-18;https://docs.google.com/spreadsheets/d/1r92EQkv_zRC2GXIFLdywC2VhXCH9LB4xLoUXbFoaQb8/edit#gid=678922190;;;;ЭОБ-Р ТТЭО-110;;Panda
019-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ТТЭО;Дикевич;16.01.2018;Т017-18;0021-18;0022-18;0023-18;https://docs.google.com/spreadsheets/d/1nSZhWYVbh3Du302ofrOLqWG3E_Z-9QQI2UsysOLCv7s/edit#gid=219499943;;;;ЭОБ-Р ТТЭО-110;;Panda
020-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;п044;ТТЭО;Дикевич;16.01.2018;Т020-18;0024-18;0025-18;0026-18;https://docs.google.com/spreadsheets/d/1m-4TY692H1tr6pNgeh5zP5P2iZsJ6dhwwxIHyXRTGZA/edit#gid=490810661;;;;ЭОБ ТТЭО-110;;Panda
021-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;п044;ТТЭО;Дикевич;16.01.2018;Т020-18;0024-18;0025-18;0026-18;https://docs.google.com/spreadsheets/d/1zT5can-oELQwuh_l9CrYSfwujOR2NQNM9enX8cS9GH4/edit#gid=678922190;;;;ЭОБ-Р ТТЭО-110;;Panda
022-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;п044;ТТЭО;Дикевич;16.01.2018;Т020-18;0024-18;0025-18;0026-18;https://docs.google.com/spreadsheets/d/1krX-MCkXWWQQ5gvV3mhUg6K2z37PflwBnXvZEle0O04/edit#gid=219499943;;;;ЭОБ-Р ТТЭО-110;;Panda
023-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;п044;ТТЭО;Дикевич;16.01.2018;Т023-18;0027-18;0028-18;0029-18;https://docs.google.com/spreadsheets/d/1uSCSC9Ip2EFFB90l5z3kkQ_Q4iIwPCZBDjJBsoBqS_4/edit#gid=490810661;;;;ЭОБ ТТЭО-110;;Panda
024-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;п044;ТТЭО;Дикевич;16.01.2018;Т023-18;0027-18;0028-18;0029-18;https://docs.google.com/spreadsheets/d/1bS9B_8z2Bn5u3LyPu8PUnktV0lxmwYLaM6oZD-y2w20/edit#gid=678922190;;;;ЭОБ-Р ТТЭО-110;;Panda
025-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;п044;ТТЭО;Дикевич;16.01.2018;Т023-18;0027-18;0028-18;0029-18;https://docs.google.com/spreadsheets/d/13F0ue51zYMKHvpE0mtbtBPPS7UAV-6ldh3bIfKrvcAg/edit#gid=219499943;;;;ЭОБ-Р ТТЭО-110;;Panda
026-18;2018;DNVGL18;KEMA Laboratories;KEMA Laboratories;550;51.97907675767671, 5.871092113709996;п047;ТТЭО;Дикевич;23.03.2018;Т026-18;0037-18;0038-18;0039-18;https://docs.google.com/spreadsheets/d/1aRqBQE2WnEhRVUEdMua1OLWNAmjF7qzmkjfqq_VzGcc/edit#gid=469013769;;;https://docs.google.com/spreadsheets/d/1OYij4S9pyl3c04XjafHH9l5f8D22LQiw493NnURwplA/edit#gid=373097906;ЭОБ ТТЭО-Ш-550;;Panda
027-18;2018;DNVGL18;KEMA Laboratories;KEMA Laboratories;550;51.97907675767671, 5.871092113709996;п047;ТТЭО;Дикевич;23.03.2018;Т026-18;0037-18;0038-18;0039-18;https://docs.google.com/spreadsheets/d/1NjsMwWKDmZVI26TqIk3JpQd48aZzLLcaQvr-EIIue_A/edit#gid=118161857;;;https://docs.google.com/spreadsheets/d/1OYij4S9pyl3c04XjafHH9l5f8D22LQiw493NnURwplA/edit#gid=373097906;ЭОБ-Р ТТЭО-Ш-550;;Panda
028-18;2018;DNVGL18;KEMA Laboratories;KEMA Laboratories;550;51.97907675767671, 5.871092113709996;п047;ТТЭО;Дикевич;23.03.2018;Т028-18;0040-18;0041-18;0042-18;https://docs.google.com/spreadsheets/d/1i4klMxw1Rq7qyA48sxTqMQwoTbjGfDn-Wj8s9Cb9Mbo/edit#gid=2035699046;;;https://docs.google.com/spreadsheets/d/1zv8GTvsvacsVt8lJkYEkomX-bf5sQz7VdXyx2fjIE94/edit#gid=373097906;ЭОБ ТТЭО-Г;;Panda
029-18;2018;DNVGL18;KEMA Laboratories;KEMA Laboratories;550;51.97907675767671, 5.871092113709996;п047;ТТЭО;Дикевич;23.03.2018;;0;0;0;https://docs.google.com/spreadsheets/d/1G1YV3OI9Ls5zlW-yuyWaa_3qxWa2kDqdFvy8eFk0rBU/edit#gid=1462796337;;;;ЭОБ-Р ЗИП;;Panda
030-18;2018;Стример;;;;;п045;ТТЭО;Дикевич;23.03.2018;Т030-18;0043-18;0044-18;0045-18;https://docs.google.com/spreadsheets/d/1Z4NT99OVyezQiIdtbWrv_NsXRj17TKchIpgAzXrZ4jE/edit#gid=253734836;;;;ТТЭО-110;;Panda
031-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;п044;ДНЕЭ;Дикевич;04.04.2018;Т031-18;0056-18;0057-18;0058-18;https://docs.google.com/spreadsheets/d/1mKhWxefvilKHJDGq1UICyKnDB4YgJtToBtu6fmC2qO8/edit#gid=671073074;;;;ДНЕЭ-110;;
032-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;п044;ДНЕЭ;Дикевич;04.04.2018;Т031-18;0059-18;0060-18;0061-18;https://docs.google.com/spreadsheets/d/1H-l00L2B9OTBhLQC5VZNWdFLjQWY-zzyMY29RO3nA8Q/edit#gid=1632191173;;;;ЭОБ-Р ДНЕЭ;;
033-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ДНЕЭ;Дикевич;04.04.2018;Т033-18;0062-18;0063-18;0064-18;https://docs.google.com/spreadsheets/d/1RBQEsOxhdox4MD5lF9gth2F5OBL5fqwyFnPvr_i6PkE/edit#gid=671073074;;;;ДНЕЭ-110;;
034-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ДНЕЭ;Дикевич;04.04.2018;Т033-18;0065-18;0066-18;0067-18;https://docs.google.com/spreadsheets/d/1UnNJp0Ij-O1oxS_ze7K-0NknHkuyVCN-gT-yWTMxNr4/edit#gid=1632191173;;;;ЭОБ-Р ДНЕЭ;;
035-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ДНЕЭ;Дикевич;04.04.2018;Т035-18;0068-18;0069-18;0070-18;https://docs.google.com/spreadsheets/d/1MEWC7CvLChL0TAGPyd4qdgGKHRXxmXItmQ-mMyE8ks8/edit#gid=671073074;;;;ДНЕЭ-110;;
036-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;п044;ДНЕЭ;Дикевич;04.04.2018;Т035-18;0071-18;0072-18;0073-18;https://docs.google.com/spreadsheets/d/1TthigsTAGAwreZmeR1uh_b4PeRef9bTddkbigxrHhWg/edit#gid=1632191173;;;;ЭОБ-Р ДНЕЭ;;
037-18;2018;Транснефть доработка;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;отсутствует;ДНЕЭ;Дикевич;04.04.2018;Т037-18;0080-18;0081-18;0082-18;https://docs.google.com/spreadsheets/d/1QmabSBProkTWkd7nThqbIAsJYxi4X2eCh1Rsjn6t-20/edit#gid=1755648928;;;;ЭТН-6;;
038-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;6;59.131829, 69.016958;п044;ДНЕЭ;Дикевич;04.04.2018;Т038-18;0083-18;0084-18;0085-18;https://docs.google.com/spreadsheets/d/1o8YvyWfu9uKarQfXc5e06ri7czOv3Bmc5Z7-C-zzRtI/edit#gid=1755648928;;;;ЭТН-6;;
039-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;6;59.131829, 69.016958;п044;ДНЕЭ;Дикевич;04.04.2018;Т039-18;0086-18;0087-18;0088-18;https://docs.google.com/spreadsheets/d/1G4pLoKPlUKqkkg2t2XtLxAgFBriaue-tsaUxLeXQlBg/edit#gid=1755648928;;;;ЭТН-6;;
040-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;6;59.131829, 69.016958;п044;ДНЕЭ;Дикевич;04.04.2018;Т040-18;0089-18;0090-18;0091-18;https://docs.google.com/spreadsheets/d/1x9-0ugmRwg4FoP88QusmlFI2OCE6MsV36AH8CmqmzcE/edit#gid=1755648928;;;;ЭТН-6;;
041-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;6;59.131829, 69.016958;п044;ДНЕЭ;Дикевич;04.04.2018;Т041-18;0092-18;0093-18;0094-18;https://docs.google.com/spreadsheets/d/1A7oLxiaRuH4VdBOmXawEzWAIIZWGCo028Gdi-82CiAk/edit#gid=1755648928;;;;ЭТН-6;;
042-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;6;59.131829, 69.016958;п044;ДНЕЭ;Дикевич;04.04.2018;Т042-18;0095-18;0096-18;0097-18;https://docs.google.com/spreadsheets/d/1gkRD5QUB4DOL68GeNp_d4M94zLxNyh8ugIB26AAGyiU/edit#gid=1755648928;;;;ЭТН-6;;
043-18;2018;Красноярск-6;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;п046;ТТЭО-Г;Дикевич;05.04.2018;Т043-18;;;;https://docs.google.com/spreadsheets/d/1RpMZFTzvNrwPy-yW0ERr9eImtOs-nRhzyaIDV-xDzos/edit#gid=1816764052;;;;ТТЭО-Г-П, эталон 0,1;;Panda
044-18;2018;Terna18;Terna;Terna National Electricity Grid;110;45.10096374952365, 7.708535875231089;п049;ДНЕЭ;Дикевич;24.07.2018;Т044-18;0105-18;0106-18;0107-18;https://docs.google.com/spreadsheets/d/1P9JKwbwb5mUwHuROL9e5OsHhpsO2z_4ytAFfcqfxP00/edit#gid=1693397697;https://docs.google.com/spreadsheets/d/1M8uTaNu7ne3C2Y-7xu-34HlYvKg3U8Qt0wLkSkDd1do/edit#gid=1262032003;;;полуфабрикат ЭОБ ДНЕЭ для тестирования электроники приборов Транснефть-2;;
045-18;;тестовый ЭОБ ДНЕЭ;;;;;отсутствует;ДНЕЭ;Дикевич;04.05.2018;;0;0;0;https://docs.google.com/spreadsheets/d/1oqTgckbjYjKhDuL07xoINAULpeTg2WVcxabkyUdpLgU/edit#gid=1693397697;;;;ЭОБ-Р ДНЕЭ без колонн;бывший полуфабрикат ЭОБ ДНЕЭ для тестирования электроники приборов Транснефть-2;
046-18;;тестовый ЭОБ ДНЕЭ;;;;;отсутствует;ДНЕЭ;Дикевич;04.05.2018;;0;0;0;https://docs.google.com/spreadsheets/d/1S_djTUJ3rbwgxPI9UN4ExymuERGSynzGZMqsWBxP9gw/edit#gid=1693397697;;;;полуфабрикат ЭОБ ДНЕЭ для тестирования электроники приборов Транснефть-2;;
047-18;2018;ТТЭО-Г для ИЦ;;;;;отсутствует;ТТЭО-Г;Дикевич;24.05.2018;;;;;https://docs.google.com/spreadsheets/d/158CIwWDjzb6t-YFAj2D0b4QDxnHJjO2rBoQvCUaKgW8/edit#gid=1801620193;;;;Модернизация старого прибора ТТЭО-3000 (проект ВНИИМ) в ТТЭО-Г для Испытательного центра;;Panda
048-18;2018;Кандалакша-1;Кандалакшский алюминиевый завод;РУСАЛ;10;67.19400905056888, 32.43380055830461;п023;ТТЭО-Г;Дикевич;01.06.2018;Т048-18;;;;https://docs.google.com/spreadsheets/d/1koPw66OJLSfGtZXkh_9Ku-efR5uM3wuCHNotjIiEMFE/edit#gid=1826685618;;;;ТТЭО-Г-П, Прибор на замену 11-16 по гарантии;;Panda
049-18;2018;Норникель;;;10;;п084;ТТЭО-Г;Дикевич;18.06.2018;Т049-18;;;;https://docs.google.com/spreadsheets/d/1eHj_nVbnroDujZ79Pur5TAuDtVg4QdN1QA61HWt24rc/edit#gid=1281646722;;;;ТТЭО-Г-П;;Panda
050-18;2018;Норникель;;;10;;п084;ТТЭО-Г;Дикевич;18.06.2018;Т050-18;;;;https://docs.google.com/spreadsheets/d/1EB-sbG8wedeaFt2E0l8pqvFC8434vUh2NSkPd2M_Ulg/edit#gid=1606364377;;;;ТТЭО-Г-П;;Panda
051-18;2018;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;п075;ТТЭО-Г;Крылов;25.10.2018;Т051-18;0109-18;0124-18;0111-18;https://docs.google.com/spreadsheets/d/1ggvYcH41TJUD44K6BnNpZqxUQjYzfDK03tCubZeyknk/edit#gid=283991149;;;;ТТЭО-Г без муфты с ЦАПТ 102-17;;Panda
